TagID,TagName,Description,TagType,TagDataType,MaxRawValue,MinRawValue,MaxValue,MinValue,NonLinearTableName,ConvertType,IsFilter,DeadBand,Unit,ChannelName,DeviceName,ChannelDriver,DeviceSeries,DeviceSeriesType,CollectControl,CollectInterval,CollectOffset,TimeZoneBias,TimeAdjustment,Enable,ForceWrite,ItemName,RegName,RegType,ItemDataType,ItemAccessMode,HisRecordMode,HisDeadBand,HisInterval,TagGroup
5065,Group1_FCS0101!2PDAH2002A_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002A.HH,,0,DOUBLE,读写,不记录,0.000000,60,
5066,Group1_FCS0101!2PDAH2002A_LL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002A.LL,,0,DOUBLE,读写,不记录,0.000000,60,
5067,Group1_FCS0101!2PDAH2002A_PH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002A.PH,,0,DOUBLE,读写,不记录,0.000000,60,
5068,Group1_FCS0101!2PDAH2002A_PL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002A.PL,,0,DOUBLE,读写,不记录,0.000000,60,
5069,Group1_FCS0101!2PDAH2002B-ALRM_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002B-ALRM.HH,,0,DOUBLE,读写,不记录,0.000000,60,
5070,Group1_FCS0101!2PDAH2002B-ALRM_LL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002B-ALRM.LL,,0,DOUBLE,读写,不记录,0.000000,60,
5071,Group1_FCS0101!2PDAH2002B-ALRM_PH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002B-ALRM.PH,,0,DOUBLE,读写,不记录,0.000000,60,
5072,Group1_FCS0101!2PDAH2002B-ALRM_PL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002B-ALRM.PL,,0,DOUBLE,读写,不记录,0.000000,60,
5073,Group1_FCS0101!2PDAH2002B_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002B.HH,,0,DOUBLE,读写,不记录,0.000000,60,
5074,Group1_FCS0101!2PDAH2002B_LL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002B.LL,,0,DOUBLE,读写,不记录,0.000000,60,
